city;cityEconomy;home;homeUtility
Diganup;Self sustain;Kucunem;Small house
Diganup;Self sustain;Toba;Inn
Diganup;Self sustain;Togituc;Small house
Diganup;Self sustain;Hiqoy;Big house
Diganup;Self sustain;Mipasu;Abandoned
Diganup;Self sustain;Voquteyey;Inn
Diganup;Self sustain;Qicu;Shop
Diganup;Self sustain;Zosoj;Big house
Diganup;Self sustain;Novafeti;Medium house
Diganup;Self sustain;Yahore;Medium house
Diganup;Self sustain;Bogiqa;Medium house
Diganup;Self sustain;Bewuze;Shop
Diganup;Self sustain;Vayofu;Medium house
Diganup;Self sustain;Nozo;Small house
Diganup;Self sustain;Feloxad;Abandoned
Diganup;Self sustain;Fas;Medium house

