city;cityEconomy;home;homeUtility
Dohaq;Tourism;Fufuma;Big house
Dohaq;Tourism;Sik;Small house
Dohaq;Tourism;Wufa;Small house
Dohaq;Tourism;Gacoje;Big house
Dohaq;Tourism;Cihul;Shop
Dohaq;Tourism;Hufezafo;Abandoned
Dohaq;Tourism;Wij;Shop
Dohaq;Tourism;Zeharon;Small house
Dohaq;Tourism;Casa;Medium house
Dohaq;Tourism;Xaqac;Big house
Dohaq;Tourism;Piho;Small house
Dohaq;Tourism;Xefikeco;Big house
Dohaq;Tourism;Zoxej;Small house
Dohaq;Tourism;Gijadaseqi;Big house
Dohaq;Tourism;Gupapogas;Medium house
Dohaq;Tourism;Rinigaqim;Inn
Dohaq;Tourism;Sewaravub;Inn
Dohaq;Tourism;Riwuvofo;Pub
Dohaq;Tourism;Maliril;Abandoned
Dohaq;Tourism;Jihalin;Big house

