city;cityEconomy;home;homeUtility
Lufeqolapol;Minning;Jaci;Small house
Lufeqolapol;Minning;Noxuzi;Abandoned
Lufeqolapol;Minning;Faciyevis;Medium house
Lufeqolapol;Minning;Jic;Abandoned
Lufeqolapol;Minning;Sugovifeme;Small house
Lufeqolapol;Minning;Sam;Small house
Lufeqolapol;Minning;Jag;Small house
Lufeqolapol;Minning;Poduzeguda;Shop
Lufeqolapol;Minning;Yogu;Big house
Lufeqolapol;Minning;Wuxe;Small house
Lufeqolapol;Minning;Qinu;Medium house
Lufeqolapol;Minning;Cariliduco;Inn
Lufeqolapol;Minning;Qeqekir;Medium house
Lufeqolapol;Minning;Tebe;Small house
Lufeqolapol;Minning;Yicicu;Big house
Lufeqolapol;Minning;Voqib;Small house
Lufeqolapol;Minning;Miqa;Medium house
Lufeqolapol;Minning;Zilafal;Medium house
Lufeqolapol;Minning;Yoke;Big house
Lufeqolapol;Minning;Vofererah;Big house
Lufeqolapol;Minning;Ropixa;Small house
Lufeqolapol;Minning;Ducuq;Pub
Lufeqolapol;Minning;Mujemi;Small house
Lufeqolapol;Minning;Juquyevo;Small house
Lufeqolapol;Minning;Teluba;Big house
Lufeqolapol;Minning;Vidomohop;Small house
Lufeqolapol;Minning;Gum;Small house
Lufeqolapol;Minning;Xigepe;Abandoned
Lufeqolapol;Minning;Nufusode;Inn
Lufeqolapol;Minning;Jugaxuku;Abandoned
Lufeqolapol;Minning;Palasopebo;Pub
Lufeqolapol;Minning;Gahamoco;Small house
Lufeqolapol;Minning;Tocafix;Pub
Lufeqolapol;Minning;Jeyum;Big house
Lufeqolapol;Minning;Bitazaxav;Medium house
Lufeqolapol;Minning;Qayuvivise;Abandoned
Lufeqolapol;Minning;Rago;Abandoned
Lufeqolapol;Minning;Vonijesa;Pub
Lufeqolapol;Minning;Difosahe;Big house
Lufeqolapol;Minning;Haqot;Medium house
Lufeqolapol;Minning;Loq;Small house
Lufeqolapol;Minning;Zayukoc;Shop
Lufeqolapol;Minning;Junetata;Small house
Lufeqolapol;Minning;Num;Shop
Lufeqolapol;Minning;Naratupa;Medium house
Lufeqolapol;Minning;Casotibajo;Medium house
Lufeqolapol;Minning;Semekole;Big house
Lufeqolapol;Minning;Refobo;Medium house
Lufeqolapol;Minning;Koneye;Medium house

